epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,289.848,1.35062,0.83029,0.96663,0.00263,0.11785,0.00062,0.00011,1.21268,1.03807,1.93814,0.000199736,0.000199736,0.0802262
2,557.764,0.87463,1.17958,0.54914,0.04832,0.36542,0.03006,0.01446,0.60561,1.74169,0.90717,0.000399655,0.000399655,0.0604261
3,823.168,0.73264,1.25427,0.41319,0.23207,0.28637,0.03628,0.01733,0.54907,1.71469,0.71979,0.000599252,0.000599252,0.0406257
4,1088.64,0.60018,1.33783,0.33862,0.14812,0.23382,0.06056,0.02908,0.59215,1.51004,0.86937,0.000798284,0.000798284,0.0208247
5,1352.34,0.56265,1.32454,0.32464,0.06052,0.17885,0.03972,0.0215,0.65,1.94583,0.84463,0.00099651,0.00099651,0.00102293
6,1616.19,0.66391,1.22184,0.38605,0.09655,0.26642,0.06132,0.03007,0.58976,1.50101,0.76203,0.000994962,0.000994962,0.000994962
7,1880.14,0.55134,1.28301,0.31084,0.11503,0.34374,0.09056,0.05087,0.54285,1.37778,0.78052,0.00099275,0.00099275,0.00099275
8,2144.51,0.58194,1.20305,0.33235,0.06563,0.23319,0.05497,0.02971,0.51515,1.69807,0.69246,0.000990141,0.000990141,0.000990141
9,2408.54,0.53746,1.21251,0.30403,0.14122,0.30645,0.09901,0.05375,0.50564,1.56529,0.69757,0.000987136,0.000987136,0.000987136
10,2673.42,0.50309,1.23491,0.28063,0.20404,0.2251,0.14874,0.07482,0.5505,1.3033,0.75402,0.000983738,0.000983738,0.000983738
11,2937.19,0.49063,1.19081,0.26677,0.20028,0.30056,0.14993,0.0778,0.543,1.23255,0.71688,0.000979949,0.000979949,0.000979949
12,3202.33,0.47809,1.17314,0.25673,0.20254,0.24327,0.14758,0.07187,0.62089,1.16073,0.80878,0.000975773,0.000975773,0.000975773
13,3467.32,0.47628,1.13169,0.25133,0.22046,0.31713,0.1656,0.07597,0.62466,1.1517,0.80502,0.000971213,0.000971213,0.000971213
14,3733.47,0.46438,1.12575,0.2487,0.20015,0.25963,0.14178,0.07797,0.5295,1.24537,0.71484,0.000966273,0.000966273,0.000966273
15,3998.92,0.51389,1.10457,0.28154,0.31811,0.26539,0.13917,0.08685,0.45694,1.42042,0.54303,0.000960956,0.000960956,0.000960956
16,4264.01,0.51925,1.10152,0.28326,0.15023,0.32333,0.1217,0.05962,0.58402,1.41454,0.7092,0.000955268,0.000955268,0.000955268
17,4530.42,0.49065,1.09311,0.26262,0.23219,0.28646,0.15838,0.07967,0.54955,1.22583,0.65012,0.000949212,0.000949212,0.000949212
18,4795.37,0.49067,1.08891,0.25983,0.16559,0.30539,0.13575,0.0713,0.51448,1.69838,0.65748,0.000942794,0.000942794,0.000942794
19,5061.16,0.49814,1.0068,0.2656,0.09273,0.20665,0.07764,0.04088,0.54581,2.03886,0.69568,0.000936019,0.000936019,0.000936019
20,5327.07,0.50005,1.0098,0.27154,0.20775,0.2935,0.14691,0.07656,0.53225,1.27856,0.68365,0.000928893,0.000928893,0.000928893
21,5593.9,0.49211,1.02255,0.26531,0.17171,0.3098,0.15495,0.08583,0.5159,1.32644,0.67413,0.00092142,0.00092142,0.00092142
22,5859.83,0.51541,1.02423,0.28352,0.16366,0.28596,0.1455,0.06512,0.61131,1.25878,0.78616,0.000913609,0.000913609,0.000913609
23,6125.66,0.4804,1.07275,0.25802,0.17369,0.31376,0.12105,0.06343,0.54264,1.37991,0.65369,0.000905463,0.000905463,0.000905463
24,6390.34,0.45685,1.02182,0.24747,0.23924,0.32969,0.19049,0.10363,0.58514,1.12736,0.75415,0.000896992,0.000896992,0.000896992
25,6655.8,0.4959,0.92429,0.26491,0.18573,0.28353,0.18286,0.09465,0.56262,1.13657,0.74052,0.0008882,0.0008882,0.0008882
26,6921.33,0.47472,0.92564,0.2595,0.18248,0.29073,0.14777,0.08112,0.56512,1.19708,0.7924,0.000879096,0.000879096,0.000879096
27,7187.1,0.4951,0.92752,0.27106,0.19823,0.28396,0.12932,0.05345,0.69915,1.16078,0.93265,0.000869687,0.000869687,0.000869687
28,7453.05,0.47566,0.98067,0.25722,0.20332,0.30352,0.16215,0.08506,0.51894,1.16663,0.67833,0.00085998,0.00085998,0.00085998
29,7718.35,0.46381,0.93507,0.2533,0.24918,0.38516,0.22557,0.13095,0.54929,1.1391,0.68926,0.000849984,0.000849984,0.000849984
30,7985.21,0.45655,0.96955,0.2405,0.25859,0.33873,0.20594,0.10933,0.58608,1.08485,0.80081,0.000839707,0.000839707,0.000839707
