epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.473,1.1165,2.82189,1.42418,0.44219,0.4378,0.40765,0.36766,1.46248,2.90685,1.42659,0.000369419,0.000369419,0.000369419
2,427.153,1.06318,2.13079,1.3962,0.4229,0.50435,0.42564,0.37839,1.5633,2.58254,1.47552,0.000732429,0.000732429,0.000732429
3,639.143,1.06484,1.9743,1.38427,0.36201,0.59016,0.44998,0.39369,1.53669,2.51976,1.53668,0.00108811,0.00108811,0.00108811
4,846.465,1.01914,1.81944,1.36274,0.48001,0.44404,0.46053,0.40927,1.42604,2.18021,1.35131,0.001078,0.001078,0.001078
5,1051.72,0.96738,1.69748,1.32506,0.64539,0.41472,0.51797,0.47697,1.53118,2.13121,1.52424,0.001067,0.001067,0.001067
6,1262.43,0.96462,1.67588,1.31409,0.63374,0.50488,0.55011,0.48129,1.40599,1.82814,1.316,0.00105601,0.00105601,0.00105601
7,1472.74,0.94066,1.59129,1.31095,0.49711,0.56553,0.56496,0.5158,1.41493,1.87805,1.31762,0.00104501,0.00104501,0.00104501
8,1683.35,0.93339,1.56344,1.28936,0.52765,0.51928,0.57503,0.521,1.44074,1.90058,1.34847,0.00103401,0.00103401,0.00103401
9,1891.9,0.91285,1.5323,1.27566,0.71828,0.54241,0.619,0.54684,1.42143,1.80156,1.34466,0.00102301,0.00102301,0.00102301
10,2099.58,0.89761,1.50033,1.26785,0.64354,0.50765,0.5629,0.49438,1.45645,1.89157,1.39417,0.00101201,0.00101201,0.00101201
11,2309.31,0.92011,1.484,1.27228,0.60857,0.56807,0.58947,0.5107,1.47924,1.83941,1.41008,0.00100101,0.00100101,0.00100101
12,2519.3,0.86148,1.45021,1.25802,0.61879,0.57544,0.6114,0.54741,1.39788,1.74178,1.34175,0.000990012,0.000990012,0.000990012
13,2728.85,0.88773,1.43358,1.25921,0.58729,0.60142,0.63299,0.57546,1.35247,1.68485,1.28193,0.000979013,0.000979013,0.000979013
14,2932.85,0.87253,1.4307,1.25372,0.62845,0.60522,0.64395,0.56687,1.35624,1.67462,1.29322,0.000968014,0.000968014,0.000968014
15,3142.69,0.86952,1.41568,1.24927,0.61486,0.59104,0.62185,0.55143,1.36276,1.71395,1.27278,0.000957015,0.000957015,0.000957015
16,3353.25,0.86555,1.38746,1.23665,0.55424,0.60783,0.62013,0.54625,1.35124,1.69779,1.28278,0.000946016,0.000946016,0.000946016
17,3560.74,0.86244,1.38414,1.23638,0.62613,0.6282,0.65477,0.57389,1.35154,1.60737,1.27743,0.000935018,0.000935018,0.000935018
18,3770.51,0.86106,1.36384,1.23404,0.58882,0.63073,0.66481,0.58327,1.31907,1.61117,1.24733,0.000924019,0.000924019,0.000924019
19,3978.58,0.85198,1.34287,1.23578,0.65154,0.64293,0.68419,0.61198,1.37034,1.5626,1.29769,0.00091302,0.00091302,0.00091302
20,4189.13,0.84303,1.33485,1.23294,0.56496,0.64926,0.65652,0.58307,1.3369,1.56531,1.24298,0.000902021,0.000902021,0.000902021
21,4396.04,0.83156,1.29455,1.21923,0.59507,0.65493,0.66322,0.59352,1.30169,1.553,1.22714,0.000891022,0.000891022,0.000891022
22,4601.89,0.83304,1.30739,1.22117,0.55442,0.62708,0.6342,0.5821,1.39262,1.82892,1.35712,0.000880023,0.000880023,0.000880023
23,4806.65,0.83259,1.28255,1.21481,0.6633,0.62533,0.67114,0.59987,1.29494,1.53326,1.18697,0.000869024,0.000869024,0.000869024
24,5011.33,0.82238,1.28062,1.21579,0.63314,0.62149,0.66208,0.5901,1.29715,1.55485,1.21992,0.000858025,0.000858025,0.000858025
25,5218.67,0.83039,1.25843,1.21303,0.58919,0.55231,0.59154,0.5319,1.3645,1.93094,1.31689,0.000847026,0.000847026,0.000847026
26,5424.23,0.81703,1.25063,1.20487,0.64016,0.66891,0.68781,0.61998,1.2853,1.50242,1.18886,0.000836027,0.000836027,0.000836027
27,5628.27,0.81006,1.22533,1.20546,0.49657,0.65892,0.65263,0.58859,1.28273,1.55535,1.20038,0.000825029,0.000825029,0.000825029
28,5832.83,0.81744,1.23568,1.21059,0.63307,0.65461,0.67823,0.60981,1.29546,1.49936,1.20728,0.00081403,0.00081403,0.00081403
29,6036.2,0.79875,1.22527,1.20029,0.65193,0.62424,0.67095,0.59955,1.27892,1.51767,1.19255,0.000803031,0.000803031,0.000803031
30,6240.82,0.79925,1.21247,1.18599,0.57896,0.60355,0.62992,0.56068,1.35277,1.6708,1.26251,0.000792032,0.000792032,0.000792032
31,6446.68,0.82159,1.2336,1.20237,0.6557,0.63972,0.70286,0.62037,1.30094,1.48762,1.19514,0.000781033,0.000781033,0.000781033
32,6650.65,0.81065,1.20198,1.19726,0.67213,0.65688,0.70701,0.62949,1.25133,1.46607,1.16111,0.000770034,0.000770034,0.000770034
33,6857.47,0.79465,1.19438,1.19118,0.66335,0.60425,0.66823,0.59529,1.31681,1.55998,1.23551,0.000759035,0.000759035,0.000759035
34,7064.93,0.82038,1.20522,1.19949,0.69851,0.6283,0.6793,0.60333,1.31534,1.47626,1.21531,0.000748036,0.000748036,0.000748036
35,7272.79,0.78933,1.17762,1.18522,0.66439,0.66341,0.71264,0.62073,1.31876,1.481,1.19284,0.000737037,0.000737037,0.000737037
36,7476.71,0.81292,1.17548,1.19443,0.67879,0.65498,0.70808,0.62222,1.30897,1.45388,1.22213,0.000726038,0.000726038,0.000726038
37,7684.19,0.81039,1.17841,1.19546,0.64142,0.68895,0.70133,0.62319,1.31301,1.4451,1.20454,0.00071504,0.00071504,0.00071504
38,7887.9,0.79316,1.17169,1.19148,0.62728,0.64247,0.6764,0.59191,1.30496,1.52398,1.21812,0.000704041,0.000704041,0.000704041
39,8092.93,0.79405,1.139,1.18934,0.68433,0.6812,0.72609,0.64592,1.27928,1.4116,1.16234,0.000693042,0.000693042,0.000693042
40,8297.25,0.80915,1.16786,1.19255,0.68972,0.64047,0.70958,0.62975,1.28556,1.45157,1.18741,0.000682043,0.000682043,0.000682043
41,8500.45,0.80042,1.14754,1.19623,0.61769,0.65094,0.68831,0.61609,1.27653,1.49741,1.20504,0.000671044,0.000671044,0.000671044
42,8704.61,0.77892,1.11806,1.17803,0.59209,0.68022,0.68282,0.59932,1.30214,1.479,1.2056,0.000660045,0.000660045,0.000660045
43,8910.52,0.78131,1.1068,1.17676,0.64471,0.65254,0.68706,0.6042,1.28738,1.50419,1.20007,0.000649046,0.000649046,0.000649046
44,9118.76,0.78768,1.14772,1.17547,0.68734,0.68242,0.72852,0.64798,1.25987,1.39339,1.1566,0.000638047,0.000638047,0.000638047
45,9326.44,0.79373,1.12444,1.17722,0.70001,0.66754,0.7174,0.63617,1.28234,1.40255,1.15964,0.000627048,0.000627048,0.000627048
46,9530.24,0.76895,1.10534,1.17366,0.68813,0.67613,0.72697,0.64071,1.28332,1.40578,1.1851,0.000616049,0.000616049,0.000616049
47,9737.87,0.77772,1.10883,1.17606,0.66645,0.6914,0.72079,0.62516,1.30358,1.46803,1.20696,0.000605051,0.000605051,0.000605051
48,9948.27,0.76869,1.09432,1.16476,0.69629,0.68858,0.73446,0.63483,1.29365,1.37887,1.20053,0.000594052,0.000594052,0.000594052
49,10152.8,0.78501,1.0854,1.17064,0.72487,0.6577,0.72069,0.62765,1.30058,1.42331,1.20685,0.000583053,0.000583053,0.000583053
50,10357.2,0.75666,1.06619,1.166,0.69211,0.67818,0.72462,0.64175,1.27679,1.4004,1.16308,0.000572054,0.000572054,0.000572054
51,10561.6,0.77405,1.09948,1.17148,0.67834,0.69625,0.72817,0.64144,1.313,1.44181,1.21308,0.000561055,0.000561055,0.000561055
52,10771.5,0.77299,1.07044,1.1701,0.69058,0.68081,0.73604,0.63839,1.27757,1.38415,1.16886,0.000550056,0.000550056,0.000550056
53,10977.6,0.76873,1.06523,1.16431,0.71297,0.67575,0.72716,0.64292,1.28147,1.37426,1.17952,0.000539057,0.000539057,0.000539057
54,11181.7,0.76588,1.06213,1.16555,0.67831,0.67095,0.72129,0.6368,1.28485,1.45421,1.18057,0.000528058,0.000528058,0.000528058
55,11387.5,0.76474,1.06262,1.17338,0.67992,0.69499,0.74152,0.65001,1.29056,1.38494,1.17929,0.000517059,0.000517059,0.000517059
56,11591.3,0.7585,1.04351,1.16575,0.62969,0.69488,0.72884,0.62948,1.2891,1.40564,1.19272,0.00050606,0.00050606,0.00050606
57,11795.6,0.73896,1.03061,1.1532,0.69268,0.70249,0.7454,0.65145,1.25705,1.34452,1.13731,0.000495062,0.000495062,0.000495062
58,11999.7,0.76537,1.04583,1.16587,0.68217,0.68692,0.73098,0.63529,1.2731,1.35833,1.14957,0.000484063,0.000484063,0.000484063
59,12206.3,0.74977,1.03001,1.15651,0.68877,0.69019,0.73412,0.63917,1.26479,1.3375,1.148,0.000473064,0.000473064,0.000473064
60,12412.3,0.74398,1.02852,1.15795,0.69863,0.68896,0.73931,0.65463,1.26834,1.34536,1.15273,0.000462065,0.000462065,0.000462065
61,12618.9,0.75815,1.02001,1.1533,0.74783,0.67763,0.74793,0.65174,1.27973,1.38095,1.14855,0.000451066,0.000451066,0.000451066
62,12822.9,0.75773,1.01173,1.15759,0.67863,0.71136,0.73689,0.64717,1.2581,1.3712,1.16084,0.000440067,0.000440067,0.000440067
63,13030,0.73189,1.00951,1.14612,0.72113,0.66729,0.74206,0.65332,1.26291,1.34541,1.15525,0.000429068,0.000429068,0.000429068
64,13234.8,0.75371,1.02141,1.15844,0.7067,0.70264,0.74469,0.65068,1.27296,1.3654,1.16404,0.000418069,0.000418069,0.000418069
65,13444.1,0.73999,1.00553,1.15659,0.70276,0.70437,0.75114,0.65041,1.29031,1.33413,1.16724,0.00040707,0.00040707,0.00040707
66,13652.3,0.73894,1.00155,1.14726,0.70049,0.71596,0.74659,0.65653,1.28842,1.34284,1.16773,0.000396071,0.000396071,0.000396071
67,13860.9,0.74741,0.98556,1.1469,0.69408,0.72138,0.75525,0.65418,1.28875,1.35818,1.16334,0.000385073,0.000385073,0.000385073
68,14067.4,0.73549,0.99197,1.14487,0.71262,0.70626,0.75066,0.65581,1.28491,1.34527,1.16688,0.000374074,0.000374074,0.000374074
69,14272.4,0.72846,0.97202,1.13963,0.71532,0.69185,0.75363,0.65586,1.27806,1.33554,1.16434,0.000363075,0.000363075,0.000363075
70,14480.8,0.72557,0.97919,1.14407,0.68188,0.70753,0.7423,0.62509,1.29385,1.36395,1.19401,0.000352076,0.000352076,0.000352076
