epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.211,2.11455,2.35267,2.34998,0.23751,0.18009,0.1107,0.04086,2.57597,2.98646,2.8324,0.000199231,0.000199231,0.0802762
2,183.303,2.07513,2.16545,2.37365,0.27192,0.25544,0.1377,0.05942,2.45132,2.62009,2.62514,0.00039915,0.00039915,0.0604761
3,257.83,2.09611,2.17487,2.38141,0.22108,0.12234,0.10647,0.04166,2.6857,2.81983,2.94103,0.000598747,0.000598747,0.0406757
4,331.594,2.08009,2.18355,2.37834,0.36699,0.15901,0.12439,0.05931,2.41117,2.64348,2.62671,0.00079778,0.00079778,0.0208747
5,405.283,2.07367,2.13492,2.34815,0.39843,0.22354,0.17701,0.06897,2.38262,2.88263,2.57849,0.000996007,0.000996007,0.00107293
6,478.592,2.0175,2.09306,2.2965,0.25381,0.29358,0.20773,0.08908,2.29024,2.01675,2.49189,0.000994962,0.000994962,0.000994962
7,552.048,2.00031,2.07654,2.27466,0.3381,0.28613,0.25006,0.11152,2.24336,1.94084,2.37132,0.00099275,0.00099275,0.00099275
8,625.341,1.97199,1.99867,2.22705,0.29529,0.30332,0.24879,0.11097,2.22442,1.96457,2.39543,0.000990141,0.000990141,0.000990141
9,698.786,1.94005,1.96413,2.22389,0.34428,0.23471,0.20295,0.09616,2.2082,2.14415,2.37775,0.000987136,0.000987136,0.000987136
10,772.386,1.91831,1.93787,2.20482,0.38118,0.29332,0.2751,0.11662,2.22422,1.96433,2.37507,0.000983738,0.000983738,0.000983738
11,845.698,1.92726,1.91576,2.18472,0.38609,0.3125,0.30374,0.1354,2.18915,1.81294,2.3077,0.000979949,0.000979949,0.000979949
12,919.207,1.91115,1.85389,2.15058,0.34553,0.32464,0.29065,0.13295,2.13658,1.92445,2.25325,0.000975773,0.000975773,0.000975773
13,992.399,1.88437,1.84567,2.13869,0.37324,0.30919,0.27957,0.13449,2.10595,1.83776,2.24021,0.000971213,0.000971213,0.000971213
14,1065.78,1.87954,1.8321,2.13174,0.42263,0.32582,0.3102,0.1422,2.078,1.75585,2.27693,0.000966273,0.000966273,0.000966273
15,1139.16,1.85578,1.8021,2.10831,0.32549,0.34527,0.31053,0.14613,2.10352,1.69948,2.25736,0.000960956,0.000960956,0.000960956
16,1212.58,1.85764,1.78439,2.09244,0.36592,0.32792,0.30631,0.14569,2.07657,1.71426,2.22647,0.000955268,0.000955268,0.000955268
17,1285.98,1.84026,1.77239,2.09058,0.39894,0.31872,0.30279,0.14555,2.09549,1.84228,2.22619,0.000949212,0.000949212,0.000949212
18,1359.05,1.81789,1.71997,2.07167,0.4238,0.37451,0.35513,0.1684,2.0531,1.5989,2.20095,0.000942794,0.000942794,0.000942794
19,1432.29,1.8086,1.70101,2.06376,0.37512,0.37152,0.35214,0.17282,2.0601,1.61488,2.2162,0.000936019,0.000936019,0.000936019
20,1505.44,1.80686,1.70647,2.05639,0.33417,0.37224,0.33416,0.16789,2.01408,1.62461,2.19242,0.000928893,0.000928893,0.000928893
21,1578.52,1.80047,1.67162,2.05038,0.42225,0.37345,0.35185,0.17474,2.07577,1.62353,2.23617,0.00092142,0.00092142,0.00092142
22,1651.78,1.80125,1.69158,2.05416,0.46169,0.35454,0.34913,0.16361,2.06976,1.60307,2.19037,0.000913609,0.000913609,0.000913609
23,1724.87,1.78205,1.64456,2.0324,0.4031,0.39437,0.36768,0.17765,2.03298,1.57611,2.1582,0.000905463,0.000905463,0.000905463
24,1798.11,1.77883,1.64044,2.02252,0.43282,0.35066,0.35983,0.1809,1.97484,1.64251,2.13889,0.000896992,0.000896992,0.000896992
25,1871.31,1.7716,1.61218,2.01252,0.39909,0.41492,0.36293,0.18036,2.00025,1.59324,2.14379,0.0008882,0.0008882,0.0008882
26,1944.49,1.77074,1.60821,2.01701,0.45827,0.37968,0.38852,0.1847,2.03882,1.52927,2.15017,0.000879096,0.000879096,0.000879096
27,2017.7,1.7624,1.61254,2.0098,0.45284,0.40621,0.3977,0.18649,2.03731,1.53147,2.15193,0.000869687,0.000869687,0.000869687
28,2091.03,1.74677,1.57852,1.99627,0.50275,0.35596,0.39029,0.19469,1.98398,1.51011,2.13139,0.00085998,0.00085998,0.00085998
29,2164.19,1.74317,1.58931,1.99768,0.44477,0.39604,0.39205,0.19087,1.96281,1.53603,2.08887,0.000849984,0.000849984,0.000849984
30,2237.28,1.74289,1.55423,1.9877,0.4458,0.39309,0.36674,0.1819,1.99233,1.54429,2.10836,0.000839707,0.000839707,0.000839707
31,2310.44,1.7327,1.53777,1.97429,0.43775,0.40126,0.38807,0.18175,2.0295,1.47985,2.15943,0.000829156,0.000829156,0.000829156
32,2383.71,1.70049,1.51828,1.95601,0.41569,0.44958,0.40361,0.19516,2.0206,1.47524,2.12241,0.000818341,0.000818341,0.000818341
33,2456.92,1.70548,1.51769,1.94956,0.46574,0.39409,0.40293,0.19762,2.00378,1.45756,2.11573,0.000807271,0.000807271,0.000807271
34,2530.2,1.70716,1.51349,1.94758,0.46392,0.41152,0.39234,0.19422,1.985,1.49806,2.10448,0.000795954,0.000795954,0.000795954
35,2603.31,1.69474,1.48233,1.95118,0.45385,0.40491,0.40113,0.1974,2.03423,1.44424,2.15736,0.000784399,0.000784399,0.000784399
36,2676.55,1.69245,1.47468,1.93798,0.48857,0.41209,0.41787,0.19579,2.02726,1.44218,2.10591,0.000772617,0.000772617,0.000772617
37,2749.72,1.66679,1.45128,1.92257,0.4566,0.40436,0.40089,0.19872,2.01348,1.43343,2.1233,0.000760617,0.000760617,0.000760617
38,2822.99,1.66603,1.44044,1.92384,0.47761,0.43586,0.42596,0.20701,2.02092,1.40609,2.12774,0.000748408,0.000748408,0.000748408
39,2896.14,1.65588,1.42581,1.91289,0.46471,0.42102,0.41211,0.20132,1.98634,1.43773,2.1171,0.000736,0.000736,0.000736
40,2969.34,1.6433,1.40474,1.89501,0.51735,0.43197,0.43578,0.21398,1.99002,1.40672,2.07021,0.000723404,0.000723404,0.000723404
41,3042.62,1.6478,1.41615,1.90804,0.47611,0.43662,0.41357,0.20117,2.02132,1.4576,2.15046,0.00071063,0.00071063,0.00071063
42,3115.79,1.65066,1.39173,1.89205,0.49717,0.40992,0.41486,0.20647,2.0047,1.40839,2.1065,0.000697689,0.000697689,0.000697689
43,3188.84,1.63965,1.37535,1.89515,0.48951,0.41607,0.4187,0.21104,1.97528,1.38929,2.07689,0.00068459,0.00068459,0.00068459
44,3262.05,1.61957,1.34946,1.86086,0.53428,0.38834,0.40805,0.2099,1.95354,1.41298,2.06095,0.000671344,0.000671344,0.000671344
45,3335.43,1.63003,1.36557,1.87737,0.48107,0.40071,0.4107,0.20817,1.9747,1.4648,2.07126,0.000657963,0.000657963,0.000657963
46,3408.61,1.60444,1.33069,1.8563,0.47123,0.44105,0.42815,0.21482,1.94818,1.39107,2.06366,0.000644458,0.000644458,0.000644458
47,3481.89,1.5972,1.32183,1.85007,0.55673,0.41699,0.42084,0.21526,1.94861,1.37932,2.03798,0.000630838,0.000630838,0.000630838
48,3555.23,1.58816,1.31622,1.84048,0.52665,0.40692,0.43419,0.216,1.95427,1.39117,2.07732,0.000617116,0.000617116,0.000617116
49,3628.58,1.58764,1.31892,1.8496,0.48996,0.46109,0.44448,0.22567,1.95407,1.32198,2.06616,0.000603302,0.000603302,0.000603302
50,3701.84,1.58194,1.27931,1.82562,0.53301,0.39504,0.4187,0.2124,1.9628,1.3942,2.07006,0.000589408,0.000589408,0.000589408
51,3775.07,1.56483,1.25977,1.81599,0.51106,0.42923,0.42854,0.21747,1.97819,1.35542,2.09189,0.000575446,0.000575446,0.000575446
52,3848.28,1.55569,1.2616,1.81413,0.52311,0.4397,0.44195,0.22712,1.91673,1.32944,2.04325,0.000561426,0.000561426,0.000561426
53,3921.52,1.54623,1.24014,1.80409,0.51061,0.44151,0.44947,0.22854,1.96766,1.33916,2.06359,0.00054736,0.00054736,0.00054736
54,3994.73,1.53326,1.23775,1.79512,0.52394,0.45063,0.44943,0.23007,1.9523,1.33365,2.05808,0.000533259,0.000533259,0.000533259
55,4068.08,1.53626,1.23852,1.80227,0.54285,0.43445,0.44311,0.22332,1.96557,1.31981,2.05655,0.000519135,0.000519135,0.000519135
56,4141.22,1.53565,1.2276,1.79097,0.53541,0.43015,0.43953,0.22682,1.93095,1.34738,2.05947,0.000505,0.000505,0.000505
57,4214.54,1.53014,1.22271,1.78592,0.52379,0.45406,0.44462,0.23075,1.9172,1.31886,2.03786,0.000490865,0.000490865,0.000490865
58,4287.83,1.52278,1.21286,1.78718,0.516,0.44179,0.43591,0.22166,1.92887,1.34828,2.06688,0.000476741,0.000476741,0.000476741
59,4361.03,1.50291,1.17156,1.7511,0.57228,0.429,0.44834,0.23116,1.95219,1.31792,2.08143,0.00046264,0.00046264,0.00046264
60,4434.3,1.48894,1.16733,1.75293,0.54898,0.41571,0.44654,0.23204,1.93283,1.30738,2.04429,0.000448574,0.000448574,0.000448574
61,4507.59,1.49094,1.15099,1.74956,0.50371,0.45955,0.45268,0.2389,1.90775,1.29968,2.04169,0.000434554,0.000434554,0.000434554
62,4580.93,1.4941,1.14744,1.75512,0.56365,0.43014,0.45896,0.24063,1.90808,1.26798,2.02855,0.000420592,0.000420592,0.000420592
63,4654.29,1.46763,1.13174,1.73598,0.52002,0.45666,0.44576,0.23363,1.92867,1.30161,2.06246,0.000406698,0.000406698,0.000406698
64,4727.41,1.45858,1.1218,1.72513,0.51101,0.44794,0.44734,0.23679,1.89925,1.30751,2.04641,0.000392884,0.000392884,0.000392884
65,4800.66,1.45012,1.09525,1.71019,0.53101,0.43081,0.44834,0.24176,1.90216,1.2796,2.04613,0.000379162,0.000379162,0.000379162
66,4873.78,1.44555,1.10429,1.71571,0.53386,0.43404,0.44649,0.23374,1.9272,1.31099,2.05529,0.000365542,0.000365542,0.000365542
67,4946.96,1.4306,1.0828,1.6949,0.51478,0.45251,0.44425,0.23542,1.89207,1.30138,2.03838,0.000352037,0.000352037,0.000352037
68,5020.02,1.43573,1.08428,1.69648,0.55742,0.41554,0.43953,0.23726,1.89554,1.29691,2.03907,0.000338656,0.000338656,0.000338656
69,5093.21,1.40696,1.07695,1.68521,0.55088,0.41696,0.4404,0.24053,1.89029,1.29063,2.04977,0.00032541,0.00032541,0.00032541
70,5166.39,1.4062,1.05728,1.68253,0.52496,0.45843,0.45969,0.24655,1.87864,1.2663,2.02559,0.000312311,0.000312311,0.000312311
71,5239.53,1.40272,1.03723,1.6722,0.56491,0.41942,0.45182,0.24277,1.88008,1.28027,2.02486,0.00029937,0.00029937,0.00029937
72,5312.72,1.39806,1.02918,1.6699,0.56782,0.43075,0.4597,0.24425,1.90123,1.26301,2.04105,0.000286596,0.000286596,0.000286596
73,5385.88,1.3973,1.02887,1.66422,0.53671,0.42167,0.4427,0.23787,1.90708,1.27862,2.05638,0.000274,0.000274,0.000274
74,5459.08,1.3726,1.02065,1.64303,0.52852,0.44061,0.45,0.24492,1.88187,1.27927,2.02394,0.000261592,0.000261592,0.000261592
75,5532.23,1.37178,1.00402,1.63698,0.53697,0.44442,0.4523,0.24274,1.89901,1.29329,2.04535,0.000249383,0.000249383,0.000249383
76,5605.44,1.37096,1.00197,1.64384,0.53681,0.44708,0.45443,0.24513,1.90257,1.26484,2.04285,0.000237383,0.000237383,0.000237383
77,5678.52,1.34373,0.9719,1.62585,0.55695,0.44177,0.46257,0.24888,1.89244,1.26405,2.04813,0.000225601,0.000225601,0.000225601
78,5751.73,1.36633,0.98746,1.63991,0.58925,0.42193,0.45537,0.24482,1.87673,1.28099,2.0302,0.000214046,0.000214046,0.000214046
79,5824.8,1.34007,0.97302,1.6213,0.56391,0.4344,0.44973,0.24231,1.89072,1.27249,2.04184,0.000202729,0.000202729,0.000202729
80,5897.93,1.34269,0.97385,1.624,0.52101,0.44059,0.44127,0.24441,1.88166,1.27867,2.03106,0.000191659,0.000191659,0.000191659
81,5971.22,1.34564,0.9733,1.6261,0.51639,0.44175,0.448,0.24189,1.88197,1.28101,2.04153,0.000180844,0.000180844,0.000180844
82,6044.44,1.32095,0.95479,1.60539,0.53901,0.44113,0.45003,0.24407,1.86965,1.27309,2.03091,0.000170293,0.000170293,0.000170293
83,6117.57,1.31384,0.94764,1.59611,0.55542,0.43235,0.45226,0.24616,1.87669,1.26383,2.03824,0.000160016,0.000160016,0.000160016
84,6190.66,1.30709,0.93693,1.59084,0.53294,0.44494,0.44704,0.24735,1.87591,1.26289,2.04513,0.00015002,0.00015002,0.00015002
85,6263.74,1.30398,0.93199,1.58879,0.55061,0.4348,0.44164,0.24483,1.89194,1.27015,2.05774,0.000140313,0.000140313,0.000140313
86,6336.92,1.30256,0.93534,1.59814,0.54914,0.44474,0.45724,0.249,1.87456,1.25735,2.04861,0.000130904,0.000130904,0.000130904
87,6410.1,1.30219,0.9325,1.59374,0.56543,0.44436,0.45637,0.25084,1.87177,1.26452,2.03623,0.0001218,0.0001218,0.0001218
88,6483.26,1.27632,0.91078,1.56754,0.5491,0.45606,0.46142,0.25166,1.8858,1.25534,2.05963,0.000113008,0.000113008,0.000113008
89,6556.55,1.29106,0.91562,1.58384,0.58308,0.43716,0.46096,0.25279,1.88038,1.25252,2.04685,0.000104537,0.000104537,0.000104537
90,6629.79,1.28297,0.90576,1.58046,0.5833,0.44741,0.46582,0.25094,1.87823,1.25916,2.0527,9.63914e-05,9.63914e-05,9.63914e-05
91,6703.29,1.25235,0.80279,1.55923,0.58437,0.43475,0.44969,0.24235,1.90546,1.26609,2.08088,8.85795e-05,8.85795e-05,8.85795e-05
92,6776.1,1.2185,0.76105,1.53962,0.57937,0.44961,0.45814,0.24307,1.89918,1.26992,2.06864,8.11072e-05,8.11072e-05,8.11072e-05
93,6848.88,1.19556,0.7394,1.5213,0.59265,0.42584,0.45593,0.24812,1.88595,1.2637,2.06228,7.39807e-05,7.39807e-05,7.39807e-05
94,6921.71,1.19157,0.73559,1.52053,0.57799,0.42803,0.45552,0.24967,1.89041,1.26375,2.07259,6.72057e-05,6.72057e-05,6.72057e-05
95,6994.46,1.17873,0.71946,1.51105,0.59395,0.42787,0.4593,0.24932,1.88767,1.25243,2.07368,6.07878e-05,6.07878e-05,6.07878e-05
96,7067.12,1.17731,0.71623,1.51064,0.57235,0.4381,0.4556,0.2468,1.89502,1.26346,2.08678,5.47322e-05,5.47322e-05,5.47322e-05
97,7139.85,1.17641,0.71999,1.51297,0.54975,0.45036,0.45415,0.24841,1.88174,1.26175,2.07705,4.90438e-05,4.90438e-05,4.90438e-05
98,7212.7,1.1693,0.7056,1.50228,0.57838,0.4326,0.45527,0.24836,1.89068,1.26552,2.08855,4.37273e-05,4.37273e-05,4.37273e-05
99,7285.33,1.16456,0.70038,1.50017,0.55497,0.44307,0.45402,0.2473,1.88357,1.26597,2.08008,3.8787e-05,3.8787e-05,3.8787e-05
100,7358.08,1.16101,0.69736,1.50133,0.57442,0.43466,0.45617,0.25028,1.88441,1.26476,2.08017,3.4227e-05,3.4227e-05,3.4227e-05
101,7430.76,1.1542,0.69551,1.48732,0.55262,0.44616,0.45436,0.24728,1.89337,1.26934,2.08687,3.0051e-05,3.0051e-05,3.0051e-05
102,7503.49,1.16328,0.6939,1.49208,0.54661,0.4482,0.45263,0.24713,1.88884,1.26582,2.08461,2.62623e-05,2.62623e-05,2.62623e-05
103,7576.29,1.14494,0.67905,1.48127,0.54231,0.45524,0.454,0.24742,1.89472,1.2677,2.09351,2.28641e-05,2.28641e-05,2.28641e-05
104,7648.99,1.15241,0.69012,1.49365,0.55766,0.44274,0.4524,0.24693,1.89047,1.26904,2.08695,1.98591e-05,1.98591e-05,1.98591e-05
105,7721.63,1.1398,0.68252,1.48447,0.54291,0.45248,0.4565,0.24859,1.88654,1.26927,2.0871,1.72499e-05,1.72499e-05,1.72499e-05
106,7794.33,1.14448,0.68599,1.48455,0.54662,0.45895,0.45681,0.24908,1.88887,1.27068,2.08649,1.50384e-05,1.50384e-05,1.50384e-05
107,7867.09,1.13786,0.6784,1.47569,0.54863,0.45448,0.45853,0.24904,1.88417,1.27008,2.08006,1.32265e-05,1.32265e-05,1.32265e-05
108,7939.92,1.13946,0.67941,1.47808,0.53552,0.46155,0.45715,0.24913,1.88683,1.26907,2.08205,1.18158e-05,1.18158e-05,1.18158e-05
109,8012.58,1.13654,0.67102,1.47236,0.54699,0.44955,0.45621,0.24828,1.88964,1.26961,2.08689,1.08073e-05,1.08073e-05,1.08073e-05
110,8085.26,1.14787,0.67871,1.48188,0.55782,0.44478,0.45669,0.2483,1.88996,1.26875,2.08827,1.02019e-05,1.02019e-05,1.02019e-05
