epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.522,1.6714,1.69908,1.66418,0.46367,0.34879,0.35625,0.18766,1.89079,2.16798,1.83064,0.00019907,0.00019907,0.0802921
2,167.006,1.66107,1.44673,1.66602,0.56315,0.30361,0.29183,0.16465,1.99479,2.5451,1.96711,0.000398989,0.000398989,0.060492
3,230.74,1.7027,1.46647,1.68309,0.55589,0.40507,0.41242,0.23186,1.84953,1.6461,1.78379,0.000598586,0.000598586,0.0406916
4,294.232,1.7199,1.47228,1.69317,0.58862,0.42114,0.44822,0.23412,2.01163,1.71625,1.88531,0.000797619,0.000797619,0.0208906
5,357.17,1.68405,1.42804,1.65347,0.57484,0.42412,0.46181,0.24573,1.88648,1.5477,1.7755,0.000995846,0.000995846,0.00108887
6,420.036,1.65796,1.38407,1.64617,0.56354,0.4719,0.47894,0.26725,1.81656,1.55788,1.69876,0.000994962,0.000994962,0.000994962
7,482.869,1.61619,1.33816,1.62082,0.62579,0.49489,0.5195,0.28592,1.7665,1.54922,1.68841,0.00099275,0.00099275,0.00099275
8,545.596,1.60243,1.29422,1.61152,0.59913,0.51116,0.51665,0.27905,1.83711,1.37898,1.6922,0.000990141,0.000990141,0.000990141
9,608.402,1.58572,1.29461,1.59626,0.63904,0.50745,0.5372,0.31066,1.67699,1.30824,1.57991,0.000987136,0.000987136,0.000987136
10,671.146,1.55082,1.23896,1.57442,0.63729,0.49591,0.51418,0.27976,1.82678,1.31453,1.72103,0.000983738,0.000983738,0.000983738
11,733.698,1.54988,1.2171,1.57112,0.7141,0.5509,0.60468,0.3377,1.74326,1.16991,1.61621,0.000979949,0.000979949,0.000979949
12,796.565,1.52639,1.17119,1.54835,0.71609,0.54456,0.59433,0.34234,1.68324,1.20002,1.57506,0.000975773,0.000975773,0.000975773
13,859.408,1.52552,1.163,1.55227,0.71094,0.5645,0.6036,0.33834,1.73665,1.15458,1.58931,0.000971213,0.000971213,0.000971213
14,922.204,1.49476,1.14946,1.53296,0.72527,0.56459,0.61505,0.34976,1.6829,1.16225,1.57616,0.000966273,0.000966273,0.000966273
15,985.028,1.497,1.13836,1.53362,0.72085,0.55029,0.61533,0.34687,1.69996,1.1682,1.57815,0.000960956,0.000960956,0.000960956
16,1047.66,1.4555,1.09007,1.50467,0.73979,0.57004,0.62741,0.3547,1.6617,1.06922,1.54702,0.000955268,0.000955268,0.000955268
17,1110.68,1.46509,1.09278,1.50162,0.71437,0.58826,0.62902,0.35845,1.68265,1.06103,1.54149,0.000949212,0.000949212,0.000949212
18,1173.74,1.46859,1.0974,1.50722,0.78042,0.58939,0.6614,0.38072,1.63881,1.04546,1.51923,0.000942794,0.000942794,0.000942794
19,1236.93,1.44459,1.0731,1.48663,0.73451,0.55857,0.63804,0.36076,1.6275,1.09782,1.52771,0.000936019,0.000936019,0.000936019
20,1299.86,1.44468,1.05051,1.48645,0.72783,0.55883,0.62008,0.35085,1.70058,1.12604,1.57072,0.000928893,0.000928893,0.000928893
21,1362.77,1.43632,1.02992,1.47803,0.74264,0.57898,0.65093,0.36119,1.67381,1.07268,1.51324,0.00092142,0.00092142,0.00092142
22,1425.74,1.41581,1.01383,1.47452,0.7691,0.6005,0.66335,0.39238,1.57512,1.01398,1.46983,0.000913609,0.000913609,0.000913609
23,1488.63,1.40758,1.00882,1.46257,0.77675,0.61306,0.68009,0.40235,1.57376,0.97721,1.48238,0.000905463,0.000905463,0.000905463
24,1551.52,1.39992,0.99952,1.45029,0.74995,0.61607,0.68705,0.39362,1.6426,0.9848,1.51262,0.000896992,0.000896992,0.000896992
25,1614.48,1.41121,0.99446,1.46384,0.77898,0.612,0.70062,0.41756,1.56554,0.9399,1.46626,0.0008882,0.0008882,0.0008882
