epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.359,1.0925,2.62884,1.41593,0.33701,0.38999,0.37191,0.31699,1.65473,2.99042,1.59962,0.000369419,0.000369419,0.000369419
2,439.394,1.06245,2.08428,1.38982,0.4079,0.51588,0.47228,0.42519,1.50675,2.5344,1.4627,0.000732429,0.000732429,0.000732429
3,638.664,1.07261,1.96448,1.3854,0.45261,0.52115,0.46839,0.42819,1.49522,2.31942,1.47299,0.00108811,0.00108811,0.00108811
4,836.066,1.01136,1.79635,1.34775,0.59808,0.46892,0.51663,0.46132,1.45952,2.00383,1.35429,0.001078,0.001078,0.001078
5,1036.22,0.97001,1.67858,1.31613,0.52689,0.55155,0.589,0.51863,1.41603,1.91367,1.31391,0.001067,0.001067,0.001067
6,1235.74,0.9596,1.64481,1.30326,0.56707,0.57297,0.59748,0.51671,1.40265,1.81081,1.32373,0.00105601,0.00105601,0.00105601
7,1433.93,0.93369,1.59324,1.30478,0.6347,0.50031,0.5742,0.51946,1.3879,1.89935,1.35441,0.00104501,0.00104501,0.00104501
8,1634.36,0.93919,1.56655,1.29189,0.6705,0.54252,0.60034,0.552,1.45929,1.89067,1.40207,0.00103401,0.00103401,0.00103401
9,1833.88,0.92009,1.51628,1.27053,0.54354,0.60245,0.59951,0.5587,1.41066,1.76311,1.30094,0.00102301,0.00102301,0.00102301
10,2034.06,0.90584,1.49926,1.27396,0.61297,0.49862,0.54424,0.48814,1.4175,2.08671,1.39662,0.00101201,0.00101201,0.00101201
11,2234.91,0.93181,1.47788,1.27397,0.53703,0.58759,0.61313,0.5516,1.35939,1.75709,1.30794,0.00100101,0.00100101,0.00100101
12,2433.29,0.87664,1.46244,1.25524,0.52388,0.62905,0.61801,0.5502,1.34716,1.70919,1.25435,0.000990012,0.000990012,0.000990012
13,2632.95,0.8978,1.45513,1.26286,0.64664,0.58171,0.64311,0.53544,1.40512,1.81741,1.27089,0.000979013,0.000979013,0.000979013
14,2831.64,0.88624,1.44699,1.25699,0.64364,0.63331,0.65293,0.55879,1.32992,1.60698,1.2678,0.000968014,0.000968014,0.000968014
15,3030.17,0.88598,1.40699,1.25134,0.52037,0.62665,0.62663,0.55313,1.32115,1.66451,1.25307,0.000957015,0.000957015,0.000957015
16,3229.26,0.87283,1.38293,1.239,0.63651,0.6353,0.66259,0.59256,1.3468,1.63089,1.25929,0.000946016,0.000946016,0.000946016
17,3427.28,0.87174,1.3879,1.24022,0.63281,0.61318,0.6702,0.60327,1.31941,1.60612,1.21057,0.000935018,0.000935018,0.000935018
18,3630.74,0.86686,1.35023,1.22591,0.62288,0.64396,0.66891,0.60178,1.34795,1.59345,1.27,0.000924019,0.000924019,0.000924019
19,3829.93,0.85575,1.32775,1.22974,0.69284,0.61689,0.68156,0.61088,1.33648,1.57941,1.27464,0.00091302,0.00091302,0.00091302
20,4027.68,0.86267,1.32666,1.23376,0.64106,0.66718,0.68331,0.60314,1.36052,1.57558,1.23335,0.000902021,0.000902021,0.000902021
21,4226.34,0.84632,1.30627,1.22006,0.63861,0.69336,0.69361,0.61955,1.30544,1.49835,1.2253,0.000891022,0.000891022,0.000891022
22,4425.32,0.83737,1.30045,1.21708,0.59942,0.63189,0.65678,0.58041,1.39561,1.71088,1.30364,0.000880023,0.000880023,0.000880023
23,4623.98,0.83795,1.26593,1.21263,0.64532,0.66337,0.69143,0.60878,1.33116,1.53044,1.24038,0.000869024,0.000869024,0.000869024
24,4822.09,0.82496,1.27519,1.20879,0.62728,0.65854,0.69885,0.60833,1.27735,1.55097,1.17013,0.000858025,0.000858025,0.000858025
25,5026.56,0.83617,1.24494,1.21147,0.64803,0.66452,0.69012,0.61149,1.31403,1.58569,1.20119,0.000847026,0.000847026,0.000847026
26,5232.2,0.83205,1.26164,1.21069,0.74435,0.63753,0.7104,0.63502,1.30513,1.51381,1.22091,0.000836027,0.000836027,0.000836027
