epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3433,2.08697,2.37752,2.37078,0.30454,0.18514,0.15209,0.06449,2.34971,2.87854,2.65909,0.000199231,0.000199231,0.0802762
2,146.702,2.03955,2.16111,2.37756,0.38161,0.15863,0.12028,0.05049,2.49744,3.38777,2.67374,0.00039915,0.00039915,0.0604761
3,218.465,2.05546,2.17647,2.35719,0.23716,0.25453,0.18421,0.07164,2.35359,2.75576,2.55394,0.000598747,0.000598747,0.0406757
4,289.858,2.04971,2.15916,2.3576,0.22863,0.22334,0.15986,0.06238,2.4418,2.31237,2.65159,0.00079778,0.00079778,0.0208747
5,360.78,2.04328,2.13419,2.32732,0.29544,0.2652,0.21059,0.08814,2.29851,2.32726,2.4713,0.000996007,0.000996007,0.00107293
6,432.325,1.98787,2.07031,2.28946,0.32153,0.24424,0.20961,0.09448,2.27488,2.13252,2.44236,0.000994962,0.000994962,0.000994962
7,503.265,1.9807,2.05038,2.26019,0.34317,0.27688,0.24489,0.10703,2.25467,2.0649,2.49176,0.00099275,0.00099275,0.00099275
8,573.976,1.94374,2.00462,2.23711,0.31423,0.34227,0.24968,0.11151,2.18368,1.9443,2.35931,0.000990141,0.000990141,0.000990141
9,644.727,1.92015,1.94147,2.21003,0.34489,0.31076,0.26791,0.12075,2.14357,1.99837,2.34159,0.000987136,0.000987136,0.000987136
10,715.515,1.90239,1.92542,2.21352,0.36629,0.34179,0.30096,0.13532,2.19873,1.83477,2.3716,0.000983738,0.000983738,0.000983738
11,786.245,1.89245,1.89756,2.17766,0.35381,0.32751,0.29297,0.1274,2.16718,1.88484,2.34104,0.000979949,0.000979949,0.000979949
12,857.094,1.87505,1.84117,2.15294,0.35064,0.34335,0.30331,0.13562,2.14799,1.84611,2.30822,0.000975773,0.000975773,0.000975773
13,927.908,1.85151,1.84809,2.15618,0.37147,0.36597,0.31393,0.14623,2.07818,1.74788,2.25339,0.000971213,0.000971213,0.000971213
14,998.62,1.84613,1.8118,2.14721,0.42367,0.31263,0.30341,0.14655,2.11363,1.84062,2.32913,0.000966273,0.000966273,0.000966273
15,1069.2,1.83399,1.79372,2.12122,0.37531,0.34912,0.3257,0.15072,2.12624,1.73003,2.33197,0.000960956,0.000960956,0.000960956
16,1139.71,1.83137,1.7663,2.11107,0.39072,0.34913,0.33777,0.16767,2.00661,1.70398,2.21169,0.000955268,0.000955268,0.000955268
17,1210.35,1.80113,1.75579,2.10256,0.45318,0.3643,0.36281,0.17128,2.06874,1.65348,2.23611,0.000949212,0.000949212,0.000949212
18,1280.97,1.78794,1.70152,2.07926,0.41864,0.37807,0.36119,0.16942,2.07376,1.6489,2.25323,0.000942794,0.000942794,0.000942794
19,1351.77,1.77946,1.6847,2.06521,0.40791,0.34536,0.33252,0.15288,2.13359,1.72935,2.30821,0.000936019,0.000936019,0.000936019
20,1422.34,1.78276,1.69585,2.06302,0.39902,0.35723,0.34596,0.1683,2.03233,1.64592,2.20364,0.000928893,0.000928893,0.000928893
21,1492.86,1.77358,1.66585,2.04814,0.42747,0.38607,0.37107,0.18417,2.00215,1.59791,2.202,0.00092142,0.00092142,0.00092142
22,1563.57,1.75563,1.64325,2.03967,0.44778,0.3391,0.32785,0.15409,2.117,1.74313,2.28189,0.000913609,0.000913609,0.000913609
23,1634.02,1.74757,1.60656,2.03087,0.43561,0.3815,0.36345,0.18192,2.01944,1.64558,2.18508,0.000905463,0.000905463,0.000905463
24,1704.55,1.7502,1.61955,2.03168,0.47366,0.38117,0.37749,0.18577,1.98841,1.60982,2.1524,0.000896992,0.000896992,0.000896992
25,1775.02,1.73621,1.59092,2.01563,0.48326,0.36852,0.38344,0.18168,2.02832,1.63652,2.24594,0.0008882,0.0008882,0.0008882
26,1845.5,1.73042,1.57345,2.0145,0.45923,0.38117,0.37902,0.18074,2.04589,1.5657,2.19882,0.000879096,0.000879096,0.000879096
27,1916.17,1.72458,1.57952,2.00339,0.46821,0.38602,0.38788,0.18193,2.04331,1.58329,2.19791,0.000869687,0.000869687,0.000869687
28,1986.71,1.72127,1.54992,1.99689,0.48729,0.38346,0.38776,0.19517,2.00235,1.50775,2.16632,0.00085998,0.00085998,0.00085998
29,2057.31,1.69781,1.54479,1.98332,0.46851,0.41301,0.40097,0.19871,1.99691,1.5368,2.18104,0.000849984,0.000849984,0.000849984
30,2128.05,1.70036,1.51056,1.97708,0.44643,0.36848,0.36316,0.17709,2.03905,1.59941,2.21847,0.000839707,0.000839707,0.000839707
31,2198.59,1.67448,1.48735,1.96063,0.42269,0.39259,0.37837,0.18255,2.0082,1.53275,2.17818,0.000829156,0.000829156,0.000829156
32,2269.21,1.65968,1.48344,1.95829,0.47531,0.41235,0.41219,0.20241,2.02978,1.47523,2.1932,0.000818341,0.000818341,0.000818341
