epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7236,1.27583,2.53359,1.49619,0.38503,0.39301,0.30699,0.17526,1.58185,2.77722,1.85608,0.000368384,0.000368384,0.000368384
2,115.603,1.43466,2.1415,1.61563,0.36377,0.37315,0.28019,0.14663,1.81016,2.93639,1.98101,0.000732069,0.000732069,0.000732069
3,172.17,1.45921,2.12291,1.62651,0.32924,0.36144,0.30674,0.15803,1.75818,2.47859,1.94202,0.00108909,0.00108909,0.00108909
4,228.231,1.42623,2.02375,1.5912,0.41022,0.37725,0.33127,0.18079,1.67216,2.38969,1.87833,0.001081,0.001081,0.001081
5,284.72,1.37951,1.95009,1.5658,0.45081,0.42216,0.4091,0.23214,1.49805,2.04415,1.65954,0.001071,0.001071,0.001071
6,341.363,1.33933,1.85924,1.5412,0.47871,0.4594,0.44688,0.25438,1.453,2.14838,1.66339,0.00106101,0.00106101,0.00106101
7,397.683,1.29123,1.75899,1.51091,0.5151,0.4642,0.46539,0.26883,1.51041,1.88417,1.68148,0.00105101,0.00105101,0.00105101
8,454.046,1.26665,1.72436,1.4948,0.45615,0.44906,0.43024,0.24665,1.39614,2.17746,1.57266,0.00104101,0.00104101,0.00104101
9,510.403,1.24133,1.65652,1.46276,0.59039,0.48806,0.5198,0.31223,1.35778,1.8046,1.53728,0.00103101,0.00103101,0.00103101
10,566.734,1.21236,1.60536,1.44957,0.58027,0.55576,0.56407,0.34413,1.31267,1.60236,1.52296,0.00102101,0.00102101,0.00102101
11,623.295,1.21299,1.59291,1.45359,0.58355,0.5546,0.55967,0.33392,1.3328,1.6474,1.50482,0.00101101,0.00101101,0.00101101
12,679.442,1.1934,1.55313,1.44444,0.65623,0.50733,0.58617,0.36185,1.29131,1.58788,1.4994,0.00100101,0.00100101,0.00100101
13,735.957,1.1552,1.51363,1.41484,0.6221,0.58766,0.60652,0.38505,1.255,1.50871,1.44714,0.000991012,0.000991012,0.000991012
14,792.253,1.14726,1.47667,1.41394,0.66728,0.55182,0.60851,0.38577,1.31054,1.53033,1.50636,0.000981013,0.000981013,0.000981013
15,848.562,1.14968,1.4494,1.41,0.59677,0.57666,0.59181,0.37216,1.27943,1.54669,1.4867,0.000971014,0.000971014,0.000971014
16,904.884,1.13489,1.42476,1.39748,0.64798,0.54096,0.59013,0.36472,1.27435,1.51173,1.46367,0.000961015,0.000961015,0.000961015
17,961.102,1.11311,1.40613,1.38104,0.61679,0.61209,0.63379,0.40466,1.21866,1.42321,1.42735,0.000951016,0.000951016,0.000951016
18,1017.13,1.09447,1.35826,1.37521,0.65859,0.57535,0.60343,0.39158,1.19338,1.5127,1.39774,0.000941017,0.000941017,0.000941017
19,1073.26,1.10651,1.33109,1.37716,0.6644,0.59424,0.63657,0.41662,1.19107,1.3858,1.38698,0.000931018,0.000931018,0.000931018
20,1129.45,1.09149,1.31866,1.36781,0.66231,0.61233,0.63686,0.41746,1.18999,1.34914,1.39688,0.000921019,0.000921019,0.000921019
21,1185.71,1.087,1.32153,1.36792,0.68519,0.62776,0.65223,0.43367,1.17977,1.37311,1.37989,0.00091102,0.00091102,0.00091102
22,1242.13,1.06551,1.30457,1.35111,0.6802,0.59575,0.64527,0.41291,1.22068,1.40057,1.39201,0.000901021,0.000901021,0.000901021
23,1298.37,1.07766,1.28981,1.35648,0.67932,0.62193,0.67652,0.4501,1.13711,1.32825,1.3438,0.000891022,0.000891022,0.000891022
24,1354.76,1.06078,1.28306,1.34342,0.64516,0.66076,0.67525,0.44748,1.14161,1.26318,1.34838,0.000881023,0.000881023,0.000881023
25,1410.88,1.06801,1.24259,1.34612,0.7041,0.60676,0.67657,0.44486,1.17185,1.29056,1.3887,0.000871024,0.000871024,0.000871024
26,1467.12,1.04418,1.22654,1.33463,0.71339,0.64644,0.69899,0.46569,1.13026,1.20273,1.35194,0.000861025,0.000861025,0.000861025
